"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2025,"Southampton","Premier League","Aaron Ramsdale","ENG","GK","26-156",1998,5,5,450,5,13,2.6,35,22,62.9,0,1,4,0,0,0,0,0,0,NA,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale"
2025,"St. Pauli","Bundesliga","Nikola Vasilj","BIH","GK","28-320",1995,6,6,540,6,9,1.5,27,17,66.7,1,1,4,2,33.3,1,0,1,0,100,"https://fbref.com/en/players/f038585f/Nikola-Vasilj"
2025,"Strasbourg","Ligue 1","Karl-Johan Johnsson","SWE","GK","34-263",1990,3,3,270,3,6,2,22,16,77.3,1,1,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/a56bd2ee/Karl-Johan-Johnsson"
2025,"Strasbourg","Ligue 1","Đorđe Petrović","SRB","GK","25-009",1999,4,4,360,4,6,1.5,17,11,70.6,1,3,0,1,25,1,1,0,0,0,"https://fbref.com/en/players/0cf321c8/Djordje-Petrovic"
2025,"Stuttgart","Bundesliga","Alexander Nübel","GER","GK","28-017",1996,6,6,540,6,11,1.83,28,17,64.3,2,3,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/afb0c500/Alexander-Nubel"
2025,"Torino","Serie A","Vanja Milinković-Savić","SRB","GK","27-240",1997,6,6,540,6,8,1.33,34,25,76.5,3,2,1,2,33.3,1,0,1,0,100,"https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic"
2025,"Torino","Serie A","Alberto Paleari","ITA","GK","32-049",1992,1,1,90,1,3,3,7,4,57.1,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/94a3606c/Alberto-Paleari"
2025,"Tottenham","Premier League","Guglielmo Vicario","ITA","GK","28-010",1996,7,7,630,7,8,1.14,23,15,65.2,3,1,3,2,28.6,0,0,0,0,NA,"https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario"
2025,"Toulouse","Ligue 1","Guillaume Restes","FRA","GK","19-220",2005,7,7,630,7,10,1.43,21,13,52.4,1,2,4,2,28.6,0,0,0,0,NA,"https://fbref.com/en/players/6b91b999/Guillaume-Restes"
2025,"Udinese","Serie A","Maduka Okoye","NGA","GK","25-050",1999,7,7,630,7,10,1.43,35,25,77.1,4,1,2,2,28.6,3,2,0,1,0,"https://fbref.com/en/players/ab5c36dd/Maduka-Okoye"
2025,"Union Berlin","Bundesliga","Frederik Rønnow","DEN","GK","32-074",1992,6,6,540,6,4,0.67,16,11,75,3,2,1,2,33.3,1,0,1,0,100,"https://fbref.com/en/players/a70b8345/Frederik-Ronnow"
