"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
2025,"Angers","Ligue 1","Lilian Raolisoa","FRA","DF","24-123",2000,1.1,70,1,16,34,23,1,70,4,4,100,0,0,33,240,120,2,4,0,1,1,42,4,"https://fbref.com/en/players/79a793b7/Lilian-Raolisoa"
2025,"Arsenal","Premier League","Riccardo Calafiori","ITA","DF","22-151",2002,3.3,195,11,50,71,76,11,195,7,6,85.7,0,0,87,466,238,2,5,2,4,0,113,7,"https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori"
2025,"Arsenal","Premier League","Kai Havertz","GER","FW,MF","25-128",1999,7,274,13,44,94,140,42,274,20,6,30,12,60,137,720,424,17,12,8,15,8,190,45,"https://fbref.com/en/players/fed7cb61/Kai-Havertz"
2025,"Arsenal","Premier League","Gabriel Jesus","BRA","FW,MF","27-197",1997,0.9,34,3,7,7,20,6,34,3,1,33.3,1,33.3,22,177,102,5,1,3,3,0,20,6,"https://fbref.com/en/players/b66315ae/Gabriel-Jesus"
2025,"Arsenal","Premier League","Jorginho","ITA","MF","32-302",1991,1.7,73,1,14,37,23,0,73,0,0,NA,0,NA,35,165,94,2,0,0,2,4,51,0,"https://fbref.com/en/players/45db685d/Jorginho"
2025,"Arsenal","Premier League","Jakub Kiwior","POL","DF","24-245",2000,0.2,9,2,5,2,2,0,9,0,0,NA,0,NA,3,4,0,0,0,0,0,0,4,0,"https://fbref.com/en/players/dc3e663e/Jakub-Kiwior"
2025,"Arsenal","Premier League","Myles Lewis-Skelly","ENG","DF","18-021",2006,0,2,0,2,0,0,0,2,0,0,NA,0,NA,1,5,5,0,0,0,0,0,2,0,"https://fbref.com/en/players/5dff6c28/Myles-Lewis-Skelly"
2025,"Arsenal","Premier League","Gabriel Magalhães","BRA","DF","26-303",1997,7,447,52,178,213,58,12,447,3,3,100,0,0,260,1039,606,2,1,0,0,1,326,3,"https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes"
2025,"Arsenal","Premier League","Gabriel Martinelli","BRA","MF,FW","23-121",2001,4.9,188,5,28,50,115,37,188,23,10,43.5,7,30.4,118,937,557,27,7,12,10,7,129,52,"https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli"
2025,"Arsenal","Premier League","Mikel Merino","ESP","MF","28-117",1996,0.3,19,1,2,12,6,1,19,0,0,NA,0,NA,8,30,15,0,0,0,0,0,12,2,"https://fbref.com/en/players/d080ed5e/Mikel-Merino"
