"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url","Att (GK)_Passes"
2025,"Cagliari","Serie A","Simone Scuffet","ITA","GK","28-139",1996,7,11,2,0,3,0,9.9,0.25,-1.1,-0.16,29,78,37.2,NA,32,34.8,33,52,42.3,36.6,97,3,3.1,5,0.71,12.7,"https://fbref.com/en/players/41bd99ea/Simone-Scuffet",161
2025,"Celta Vigo","La Liga","Vicente Guaita","ESP","GK","37-281",1987,5,6,0,0,0,0,5.8,0.32,-0.2,-0.05,14,41,34.1,NA,32,25,30.1,31,48.4,42.4,81,6,7.4,3,0.6,11.6,"https://fbref.com/en/players/ab13a5aa/Vicente-Guaita",104
2025,"Celta Vigo","La Liga","Iván Villar","ESP","GK","27-100",1997,4,9,0,0,3,2,8.2,0.4,1.2,0.3,3,22,13.6,NA,15,14.6,24,35,28.6,26.9,65,1,1.5,5,1.25,14.8,"https://fbref.com/en/players/cde52ef5/Ivan-Villar",82
2025,"Chelsea","Premier League","Robert Sánchez","ESP","GK","26-334",1997,7,8,0,0,0,0,9,0.2,1,0.14,21,73,28.8,NA,46,23.4,28.5,26,34.6,33.8,73,10,13.7,21,3,17.1,"https://fbref.com/en/players/6a713852/Robert-Sanchez",273
2025,"Como","Serie A","Emil Audero","ITA","GK","27-273",1997,4,9,3,0,1,0,6.8,0.25,-2.2,-0.55,10,39,25.6,NA,11,27.6,31.2,6,33.3,32.7,49,4,8.2,4,1,12.1,"https://fbref.com/en/players/649b01d8/Emil-Audero",134
2025,"Como","Serie A","Pepe Reina","ESP","GK","42-047",1982,3,5,0,0,0,0,4.3,0.33,-0.7,-0.23,9,33,27.3,NA,10,35.3,32.9,7,42.9,33.7,38,1,2.6,2,0.67,15.3,"https://fbref.com/en/players/e358587b/Pepe-Reina",85
2025,"Crystal Palace","Premier League","Dean Henderson","ENG","GK","27-219",1997,7,10,0,0,0,0,11.1,0.39,1.1,0.16,16,87,18.4,NA,37,40.9,34.8,61,39.3,36.5,92,5,5.4,12,1.71,15.7,"https://fbref.com/en/players/e5a76dfe/Dean-Henderson",154
2025,"Dortmund","Bundesliga","Gregor Kobel","SUI","GK","26-316",1997,6,11,2,0,2,0,9.2,0.29,-1.8,-0.31,17,46,37,NA,25,16.2,24.8,18,44.4,39.1,87,3,3.4,10,1.67,16,"https://fbref.com/en/players/cd59b9df/Gregor-Kobel",234
2025,"Eint Frankfurt","Bundesliga","Kauã Santos","BRA","GK","21-189",2003,3.5,6,1,0,3,0,7,0.23,1,0.28,10,42,23.8,NA,20,28.9,30.8,13,53.8,42.2,74,9,12.2,7,2,13.7,"https://fbref.com/en/players/c7c50cb5/Kaua-Santos",121
2025,"Eint Frankfurt","Bundesliga","Kevin Trapp","GER","GK","34-101",1990,2.5,3,0,0,0,0,2.4,0.24,-0.6,-0.25,13,34,38.2,NA,14,35.6,30.8,17,47.1,39.8,50,1,2,1,0.4,11.5,"https://fbref.com/en/players/ce17b5eb/Kevin-Trapp",73
2025,"Empoli","Serie A","Devis Vásquez","COL","GK","26-158",1998,7,4,0,0,1,0,5,0.2,1,0.15,34,119,28.6,NA,24,47.5,39,27,88.9,60.7,139,11,7.9,2,0.29,8.7,"https://fbref.com/en/players/fac1f795/Devis-Vasquez",200
2025,"Espanyol","La Liga","Joan García","ESP","GK","23-166",2001,9,13,1,0,3,0,15.9,0.27,2.9,0.32,38,130,29.2,NA,45,37.4,36.4,50,64,50.1,163,11,6.7,11,1.22,13.2,"https://fbref.com/en/players/87b498b0/Joan-Garcia",262
2025,"Everton","Premier League","Jordan Pickford","ENG","GK","30-224",1994,7,15,0,0,3,0,12.3,0.34,-2.7,-0.38,79,173,45.7,NA,23,64.2,45.9,54,64.8,49.8,116,7,6,17,2.43,18.1,"https://fbref.com/en/players/4806ec67/Jordan-Pickford",215
2025,"Fiorentina","Serie A","David de Gea","ESP","GK","33-345",1990,4,5,0,0,0,0,5.5,0.17,0.5,0.13,22,51,43.1,NA,17,36.9,33.7,31,41.9,39.3,63,2,3.2,1,0.25,8.6,"https://fbref.com/en/players/7ba6d84e/David-de-Gea",103
2025,"Fiorentina","Serie A","Pietro Terracciano","ITA","GK","34-223",1990,3,3,0,0,0,0,3.1,0.24,0.1,0.03,8,25,32,NA,14,28.2,28.8,11,27.3,26.5,20,1,5,3,1,17,"https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano",78
2025,"Freiburg","Bundesliga","Noah Atubolu","GER","GK","22-145",2002,4,4,0,0,0,0,4.1,0.38,0.1,0.02,26,63,41.3,NA,20,37.3,34.6,12,33.3,39.2,47,3,6.4,9,2.25,16.9,"https://fbref.com/en/players/dbd1b101/Noah-Atubolu",158
2025,"Freiburg","Bundesliga","Florian Müller","GER","GK","26-339",1997,2,3,1,0,1,0,2.5,0.35,-0.5,-0.27,7,38,18.4,NA,3,46.7,37.8,13,76.9,57.9,26,0,0,1,0.5,13.8,"https://fbref.com/en/players/cbac6ec9/Florian-Muller",60
2025,"Fulham","Premier League","Bernd Leno","GER","GK","32-227",1992,7,8,0,0,2,0,7.4,0.26,-0.6,-0.08,20,69,29,NA,19,23,29.3,26,65.4,50.9,95,6,6.3,5,0.71,11.7,"https://fbref.com/en/players/2628fd2b/Bernd-Leno",226
2025,"Genoa","Serie A","Pierluigi Gollini","ITA","GK","29-213",1995,7,15,3,0,1,0,12.2,0.29,-2.8,-0.39,33,75,44,NA,21,24.7,30.4,52,50,44.4,92,2,2.2,2,0.29,9.6,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini",198
2025,"Getafe","La Liga","David Soria","ESP","GK","31-196",1993,9,7,1,0,0,0,7.3,0.28,0.3,0.03,42,137,30.7,NA,16,66.4,49.2,68,85.3,60.9,109,4,3.7,8,0.89,13,"https://fbref.com/en/players/8f8c6934/David-Soria",119
2025,"Girona","La Liga","Paulo Gazzaniga","ARG","GK","32-289",1992,9,12,0,1,1,0,9.8,0.26,-2.2,-0.24,13,50,26,NA,38,14.5,26.6,44,27.3,31.4,89,8,9,12,1.33,17.5,"https://fbref.com/en/players/63d17038/Paulo-Gazzaniga",262
2025,"Gladbach","Bundesliga","Moritz Nicolas","GER","GK","26-362",1997,3,4,0,0,1,0,3.6,0.33,-0.4,-0.12,10,18,55.6,NA,24,13.2,24.7,15,13.3,30.7,45,3,6.7,4,1.33,17.4,"https://fbref.com/en/players/226ddf9d/Moritz-Nicolas",121
2025,"Gladbach","Bundesliga","Jonas Omlin","SUI","GK","30-281",1994,3,6,0,0,1,0,6,0.25,0,-0.01,23,45,51.1,NA,10,28.1,30.2,11,63.6,47.3,35,0,0,3,1,17.8,"https://fbref.com/en/players/c631f952/Jonas-Omlin",135
2025,"Heidenheim","Bundesliga","Kevin Müller","GER","GK","33-216",1991,6,8,1,0,0,0,6.3,0.32,-1.7,-0.29,33,89,37.1,NA,27,33.9,35,51,54.9,46.6,100,4,4,4,0.67,13.4,"https://fbref.com/en/players/f256f213/Kevin-Muller",180
2025,"Hellas Verona","Serie A","Lorenzo Montipò","ITA","GK","28-240",1996,7,12,1,0,2,0,8.4,0.24,-3.6,-0.52,31,123,25.2,NA,16,54.3,41.3,55,85.5,57.6,101,5,5,4,0.57,11.2,"https://fbref.com/en/players/c1d95617/Lorenzo-Montipo",140
